Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),App ALB,Application Load Balancer,0,96.43,1157.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Web ALB,Application Load Balancer,0,96.43,1157.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Web EC2,Amazon EC2,0,2103.55,25242.6,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances  ), Storage amount (200 GB), Instance type (t3.2xlarge)"
My Estimate,US East (N. Virginia),RDS Master,Amazon RDS for MySQL,0,3848.64,46183.68,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Provisioning IOPS (3500), Quantity (1), Instance type (db.m5.2xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (20000 GB)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,358.68,4304.16,USD,S3 Standard storage (15 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),Read Replica,Amazon RDS for MySQL,0,2874.32,34491.84,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Provisioning IOPS (3500), Quantity (1), Instance type (db.m5.2xlarge), Deployment option (Single-AZ), Pricing strategy (OnDemand), Additional backup storage (20000 GB)"
My Estimate,EU (Ireland),Web EC2,Amazon EC2,0,2306.43,27677.16,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (200 GB), Instance type (t3.2xlarge)"
My Estimate,EU (Ireland),Read Replica,Amazon RDS for MySQL,0,2974.88,35698.56,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Provisioning IOPS (3500), Quantity (1), Instance type (db.m5.2xlarge), Deployment option (Single-AZ), Pricing strategy (OnDemand), Additional backup storage (20000 GB)"
My Estimate,EU (Ireland),RDS Master,Amazon RDS for MySQL,0,4049.76,48597.12,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Provisioning IOPS (3500), Quantity (1), Instance type (db.m5.2xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (20000 GB)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
Changed RDS to Multi AZ for better redundancy and smoother patches and upgrades. Also replicated a lot of the infrastructure to another region (eu-west-1),,,,,,,,
